epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.101250745,6.9612119439719375,0.1923077,0.0009926544,0.014880952,7.357949495315552,0.0,0.0
1,0.19376613,5.0420039013924525,0.58474576,0.01369863,0.06994048,5.361123471033006,0.5882353,0.007440476
2,0.25372246,4.111800636165029,0.7112462,0.046456225,0.18229167,4.439368327458699,0.56880736,0.04613095
3,0.29164186,3.6122123149503005,0.7486819,0.08457415,0.12723215,4.627789542788551,0.29646018,0.04985119
4,0.32896566,3.2967353274667457,0.7567935,0.110581696,0.18229167,4.142714409601121,0.5188679,0.04092262
5,0.35874528,3.0772390688414704,0.7605956,0.1318245,0.24255952,3.7622794083186557,0.4717608,0.10565476
6,0.37462777,2.939285703990013,0.75398403,0.15028787,0.1592262,4.588590905779884,0.41960785,0.0796131
7,0.40242207,2.803748052177482,0.7922535,0.17867778,0.20089285,4.92284065201169,0.33579335,0.13541667
8,0.41453245,2.7024029801709326,0.78174603,0.19555292,0.16666667,5.564461639949253,0.26408452,0.11160714
9,0.50248164,2.394403212833007,0.8557692,0.24736947,0.38690478,3.0003329458690824,0.7054945,0.23883928
10,0.5417907,2.2575901336132214,0.88095236,0.27178878,0.41964287,2.834305553209214,0.73882353,0.23363096
11,0.5475481,2.2009987067390533,0.88404906,0.28608298,0.4330357,2.756823255902245,0.7352941,0.24181548
12,0.5596585,2.1605167532336362,0.89107144,0.2972007,0.41889882,2.792018617902483,0.76674366,0.2470238
13,0.56740123,2.11617570799543,0.8943743,0.3093111,0.4315476,2.7034152008238292,0.74207187,0.2611607
14,0.5735557,2.073238569070878,0.893534,0.318245,0.3861607,2.9192643733251664,0.6463654,0.24479167
15,0.5842764,2.026714159733771,0.8977149,0.32757595,0.4360119,2.6671841201328097,0.7478992,0.26488096
16,0.58943814,1.9993233175677205,0.8979376,0.33710542,0.44494048,2.6964917353221347,0.76687115,0.27901787
17,0.5936073,1.9580432701754575,0.8954918,0.34703195,0.4642857,2.5496792793273926,0.77237356,0.2953869
18,0.6059162,1.9285634604147888,0.89285713,0.3523923,0.43824404,2.672802749134245,0.7132353,0.28869048
19,0.6287473,1.8835901205847845,0.89011514,0.36827478,0.47395834,2.4998340209325156,0.75352114,0.3184524
20,0.6249752,1.8670683774016599,0.9044223,0.3776057,0.47544643,2.486258489745004,0.7161501,0.3266369
21,0.6311296,1.84022253847605,0.899768,0.38495135,0.47693452,2.4764311569077626,0.7122642,0.33705357
22,0.6400635,1.8173269836680626,0.8930958,0.3980544,0.4784226,2.5099806785583496,0.74214876,0.3340774
23,0.64363706,1.7843363750115826,0.9034241,0.40857655,0.46354166,2.552699077697027,0.71794873,0.33333334
24,0.6547548,1.7558913306392847,0.8962264,0.4149295,0.5014881,2.3729665875434875,0.7450077,0.3608631
25,0.66607106,1.7176133600141834,0.90912986,0.421084,0.4642857,2.5568304856618247,0.7044025,0.33333334
26,0.66408575,1.7084432201345738,0.9038068,0.43835616,0.50074404,2.388777744202387,0.71529746,0.37574404
27,0.66686517,1.689631584619799,0.8923202,0.4359738,0.48809522,2.467207037267231,0.7157738,0.3578869
28,0.6984316,1.6055893219485273,0.9157812,0.46198133,0.53869045,2.2887031776564464,0.7485955,0.3965774
29,0.7065714,1.5778461064472542,0.92690516,0.4732976,0.5260417,2.302717157772609,0.73415977,0.3965774
30,0.70001984,1.572638000385473,0.92434716,0.47786382,0.52529764,2.2622168887229193,0.7479452,0.40625
31,0.71292436,1.5598424279266154,0.9223709,0.47885647,0.53348213,2.266338791166033,0.7438692,0.40625
32,0.70776254,1.5579603393564911,0.9254872,0.4808418,0.53869045,2.2813485860824585,0.74626863,0.40922618
33,0.704189,1.5647188367790614,0.92313635,0.4744888,0.5260417,2.28669916448139,0.7387755,0.40401787
34,0.71133614,1.5512271833864735,0.92719,0.48540798,0.53720236,2.25289295400892,0.75068873,0.40550596
35,0.71292436,1.541196841745829,0.9257991,0.4830256,0.53125,2.2681872958228704,0.75409836,0.4107143
36,0.7091523,1.5370314230349935,0.92789376,0.48540798,0.5297619,2.255423443658011,0.74039733,0.4159226
37,0.7170935,1.5321465914794228,0.93025017,0.48719475,0.5349702,2.278097629547119,0.7449118,0.40848213
38,0.7226524,1.52063206760614,0.9291604,0.49215803,0.53720236,2.2744479236148654,0.75102043,0.4107143
39,0.71411556,1.520801779365691,0.9259673,0.49414334,0.52901787,2.2531382526670183,0.7389558,0.4107143
40,0.72027,1.5159676383595773,0.9284141,0.50208455,0.53869045,2.2404546907969882,0.75745255,0.4159226
41,0.71351993,1.511550337709272,0.9244868,0.5006949,0.53050596,2.2699072304226102,0.7398922,0.40848213
42,0.7216597,1.5061446002179582,0.9295413,0.5028787,0.55133927,2.224360247453054,0.73913044,0.4174107
43,0.7164979,1.5123033632899836,0.9281525,0.5026802,0.5453869,2.233136228152684,0.73837984,0.41369048
44,0.72523326,1.5080352962218226,0.929676,0.50129044,0.5438988,2.2364123577163335,0.7310253,0.40848213
45,0.7234465,1.4982481788306192,0.9292522,0.50327575,0.53125,2.270975430806478,0.7381916,0.40699404
46,0.72364503,1.5042271344747387,0.9266958,0.50446695,0.5431548,2.2112033395540145,0.75454545,0.43229166
47,0.7234465,1.4889173432785248,0.93032634,0.50367284,0.53869045,2.2265583588963462,0.7516426,0.42559522
48,0.7226524,1.4952051529743284,0.92995256,0.5060552,0.54241073,2.239012408824194,0.7350649,0.42113096
49,0.7305936,1.481787114027878,0.92890656,0.51101846,0.5416667,2.2330116657983687,0.7446808,0.41666666
50,0.7282112,1.4787938617301504,0.92787594,0.5108199,0.54241073,2.2285605044591996,0.74900925,0.421875
51,0.7184832,1.480957139264929,0.9233827,0.5072464,0.54464287,2.2146418946129933,0.7375979,0.4203869
52,0.73079216,1.4745485491995918,0.9307469,0.5096288,0.54761904,2.2281953493754068,0.74771243,0.42559522
53,0.7343657,1.463910822265319,0.92821604,0.5185626,0.54761904,2.204902844769614,0.73170733,0.42410713
54,0.73297596,1.4721050219614402,0.9272208,0.51598173,0.55133927,2.2100730623517717,0.74678665,0.43229166
55,0.7323804,1.4585316712500818,0.9386307,0.52531266,0.55133927,2.2395437161127725,0.7412678,0.4263393
56,0.7347627,1.456349093998759,0.9305703,0.5215406,0.54464287,2.2379210960297358,0.74007684,0.43005952
57,0.73337305,1.4544696804547987,0.9273369,0.52193767,0.5572917,2.215195343607948,0.7477477,0.43229166
58,0.7371451,1.4483866313158436,0.9286963,0.5274965,0.5535714,2.201426454952785,0.7259259,0.4375
59,0.73734367,1.4488908631687532,0.9321251,0.52074647,0.54613096,2.193001647790273,0.7378517,0.42931548
60,0.7405202,1.4408098140689667,0.9353373,0.5312686,0.54910713,2.2252986402738664,0.7286245,0.4375
61,0.73793924,1.443936449669173,0.93069655,0.5278936,0.5483631,2.2134161392847695,0.7419355,0.4278274
62,0.74111575,1.4363806182036023,0.9333567,0.5282906,0.5610119,2.197991439274379,0.75063616,0.4389881
63,0.74369663,1.4375435669601544,0.93939394,0.5292833,0.5535714,2.214237386272067,0.75600505,0.44494048
64,0.73019654,1.4356741110483806,0.9316509,0.52769506,0.56026787,2.1859273995671953,0.75753766,0.4486607
65,0.74568194,1.4154028127371898,0.927972,0.52690095,0.5342262,2.2162492842901322,0.72771674,0.4434524
66,0.752432,1.4155989828766729,0.9341112,0.54040104,0.5654762,2.2012441839490617,0.73955774,0.44791666
67,0.7434981,1.4167375369088053,0.93485796,0.5356363,0.5595238,2.195909531343551,0.7418546,0.44047618
68,0.7472702,1.422479929255663,0.9363414,0.53146714,0.5535714,2.193427188055856,0.7307692,0.43824404
69,0.74032164,1.4055964130954846,0.9420836,0.54576135,0.56324404,2.197384856996082,0.7287105,0.44568452
70,0.7413143,1.4141585898347286,0.9267034,0.53464365,0.5520833,2.1800366810389926,0.74019605,0.44940478
71,0.7466746,1.4073893824503112,0.937263,0.5398054,0.55654764,2.214681029319763,0.747782,0.4389881
72,0.74885845,1.4026696931778593,0.93344593,0.5485408,0.54761904,2.1945059838749112,0.74027604,0.4389881
